Agency,Slug,Title,Chapter,Word Count
Agency for International Development,agency-for-international-development,2,VII,305159
United States International Development Finance Corporation,u-s-international-development-finance-corporation,5,XXXIII,1457374
United States International Development Finance Corporation,u-s-international-development-finance-corporation,22,VII,881604
United States International Development Cooperation Agency,united-states-international-development-cooperation-agency,22,XII,881604
United States and Canada International Joint Commission,international-joint-commission-united-states-and-canada,22,IV,881604
United States Fish and Wildlife Service,fish-and-wildlife-service,50,I,3322427
Agency for International Development,agency-for-international-development,22,II,881604
James Madison Memorial Fellowship Foundation,james-madison-memorial-fellowship-foundation,45,XXIV,2001296
Japan-United States Friendship Commission,japan-united-states-friendship-commission,22,XVI,881604
Department of Justice,justice-department,28,I,1282317
Interstate Commerce Commission,interstate-commerce-commission,5,XL,1457374
Agency for International Development,agency-for-international-development,48,7,2390823
United States International Trade Commission,international-trade-commission,19,II,1213321
Department of Justice,justice-department,41,128,637940
"Bureau of Alcohol, Tobacco, Firearms, and Explosives",alcohol-tobacco-firearms-and-explosives-bureau,27,II,888130
Department of Justice,justice-department,5,XXVIII,1457374
Executive Office for Immigration Review,executive-office-for-immigration-review,8,V,775691
Department of Justice,justice-department,28,XI,1282317
Department of Justice,justice-department,31,IX,1267926
Federal Prison Industries,federal-prison-industries,28,III,1282317
Bureau of Prisons,prisons-bureau,28,V,1282317
Department of Labor,labor-department,2,XXIX,305159
Offices of Independent Counsel,offices-of-independent-counsel,28,VI,1282317
Department of Labor,labor-department,41,50,637940
Foreign Claims Settlement Commission of the United States,foreign-claims-settlement-commission,45,V,2001296
Drug Enforcement Administration,drug-enforcement-administration,21,II,2387419
Benefits Review Board,benefits-review-board,20,VII,1913141
Employees' Compensation Appeals Board,employees-compensation-appeals-board,20,IV,1913141
Office of Assistant Secretary for Veterans' Employment and Training Service,office-of-assistant-secretary-for-veterans'-employment-and-training-service,20,IX,1913141
Department of Labor,labor-department,48,29,2390823
Office of Assistant Secretary for Veterans' Employment and Training Service,office-of-assistant-secretary-for-veterans'-employment-and-training-service,41,61,637940
Occupational Safety and Health Administration,occupational-safety-and-health-administration,29,XVII,3675576
Employment and Training Administration,employment-and-training-administration,20,V,1913141
Office of Federal Contract Compliance Programs,federal-contract-compliance-programs-office,41,60,637940
Mine Safety and Health Administration,mine-safety-and-health-administration,30,I,1188180
Office of Labor-Management Standards,labor-management-standards-office,29,IV,3675576
Employee Benefits Security Administration,employee-benefits-security-administration,29,XXV,3675576
Office of Workers' Compensation Programs,workers-compensation-programs-office,20,VI,1913141
Library of Congress,library-of-congress,36,VII,984413
U.S. Copyright Office,copyright-office-library-of-congress,37,II,580800
Office of Labor-Management Standards,labor-management-standards-office,29,II,3675576
Legal Services Corporation,legal-services-corporation,45,XVI,2001296
Office of Management and Budget,management-and-budget-office,5,III,1457374
Wage and Hour Division,wage-and-hour-division,29,V,3675576
National Commission on Libraries and Information Science,national-commission-on-libraries-and-information-science,45,XVII,2001296
Office of Management and Budget,management-and-budget-office,5,LXXVII,1457374
Office of Management and Budget,management-and-budget-office,48,99,2390823
Office of Federal Procurement Policy,federal-procurement-policy-office,48,99,2390823
Merit Systems Protection Board,merit-systems-protection-board,5,II,1457374
Marine Mammal Commission,marine-mammal-commission,50,V,3322427
Military Compensation and Retirement Modernization Commission,military-compensation-and-retirement-modernization-commission,5,XCIX,1457374
"National Commission on Military, National, and Public Service",national-commission-on-military-national-and-public-service,1,IV,63649
Morris K. Udall and Stewart L. Udall Foundation,morris-k-udall-and-stewart-l-udall-foundation,36,XVI,984413
National Aeronautics and Space Administration,national-aeronautics-and-space-administration,2,XVIII,305159
Corporation for National and Community Service,corporation-for-national-and-community-service,45,XII,2001296
National Aeronautics and Space Administration,national-aeronautics-and-space-administration,5,LIX,1457374
Corporation for National and Community Service,corporation-for-national-and-community-service,2,XXII,305159
National Aeronautics and Space Administration,national-aeronautics-and-space-administration,14,V,1903018
National Archives and Records Administration,national-archives-and-records-administration,2,XXVI,305159
National Archives and Records Administration,national-archives-and-records-administration,36,XII,984413
National Archives and Records Administration,national-archives-and-records-administration,5,LXVI,1457374
Office of Federal Register,federal-register-office,1,II,63649
National Credit Union Administration,national-credit-union-administration,5,LXXXVI,1457374
National Capital Planning Commission,national-capital-planning-commission,1,VI,63649
Office of National Drug Control Policy,office-of-national-drug-control-policy,2,XXXVI,305159
National Counterintelligence Center,national-counterintelligence-center,32,XVIII,1730123
